bus;frequency;operator;osm_name;ref;carrier;v_nom;voltage;wkt_srid_4326;x;y;;;;
1;50;TenneT;EON_NetzHannover/West;;substation;220.0;220000;110000;SRID=4326;POINT(9.52257596986262_52.3604090557601);952.257.596.986;523.604.090.558;;
2;50;TenneT;Umspannwerk_Kraftwerk_Robert_Frank;;substation;380.0;220000;;SRID=4326;POINT(9.11321007472722_52.5438533223737);911.321.007.473;525.438.533.224;;
3;50;TenneT;UW_Grohnde_380_kV_/_110_kV;;substation;380.0;380000;110000;SRID=4326;POINT(9.38974509624863_52.0263130660355);938.974.509.625;52.026.313.066;;
4;50;TenneT_TSO_GmbH;Landesbergen;;substation;380.0;380000;220000;SRID=4326;POINT(9.12526570294975_52.5382640870749);912.526.570.295;525.382.640.871;;
5;50;TenneT;Wahle;;substation;380.0;380000;220000;SRID=4326;POINT(10.3662749375017_52.2846467462009);103.662.749.375;522.846.467.462;;
6;50;TenneT_TSO;TenneT_TSO_GmbH_-_Betriebszentrum_Lehrte;;substation;220.0;220000;110000;SRID=4326;POINT(9.91814864613865_52.3799963125719);991.814.864.614;523.799.963.126;;
7;50;TenneT;Algermissen;;substation;380.0;380000;110000;SRID=4326;POINT(9.91717971972185_52.2781686139394);991.717.971.972;522.781.686.139;;
8;;50Hertz;Krmmel;;substation;380.0;380000;110000;SRID=4326;POINT(10.4149923381504_53.4126068830249);104.149.923.382;53.412.606.883;;
9;50;EON_Netz;LueneburgLUEN;;substation;380.0;380000;110000;SRID=4326;POINT(10.3787705903765_53.2197927685849);103.787.705.904;532.197.927.686;;
10;;50Hertz_Transmission_GmbH;Wustermark;;substation;380.0;380000;220000;SRID=4326;POINT(12.9416466019288_52.5621144045848);129.416.466.019;525.621.144.046;;
11;50;50Hertz_Transmission;Hennigsdorf;;substation;220.0;220000;110000;SRID=4326;POINT(13.2061029867985_52.6571362773373);132.061.029.868;526.571.362.773;;
12;50;50Hertz_Transmission_GmbH;NeuenhagenNHG_TCC;;substation;380.0;380000;220000;SRID=4326;POINT(13.7096697058228_52.5397952580643);137.096.697.058;525.397.952.581;;
13;;TenneT_TSO_GmbH;E.ON_Netz_GmbHUmspannwerk_Oberbachern;;substation;380.0;380000;220000;SRID=4326;POINT(11.3704262486892_48.2914922329548);113.704.262.487;48.291.492.233;;
14;;"TenneT_TSO_GmbH;_E.ON_Netz_GmbH";Umspannwerk_Neufinsing;;substation;220.0;220000;110000;SRID=4326;POINT(11.8132328973194_48.2212664654998);118.132.328.973;482.212.664.655;;
15;50;TenneT_TSO_GmbH;Umspannwerk_Ottenhofen;;substation;380.0;380000;220000;SRID=4326;POINT(11.8681562938884_48.2068029185353);118.681.562.939;482.068.029.185;;
16;50;EON_Netz;Umspannwerk_Hattorf;;substation;380.0;380000;110000;SRID=4326;POINT(10.7610403785613_52.3677293804096);107.610.403.786;523.677.293.804;;
17;50;50Hertz;Stromnetz_BerlinUmspannwerk_Malchow;;substation;380.0;380000;110000;SRID=4326;POINT(13.4947633747219_52.5897644435618);134.947.633.747;525.897.644.436;;
18;;50Hertz;Umspannwerk_Lubmin;;substation;380.0;380000;220000;SRID=4326;POINT(13.6834769666546_54.1390906406635);136.834.769.667;541.390.906.407;;
19;;"TenneT_TSO_GmbH;_E.ON_Netz_GmbH";Umspannwerk_Oberbrunn;;substation;220.0;220000;110000;SRID=4326;POINT(11.2939727001158_48.0520427719624);112.939.727.001;48.052.042.772;;
20;50;50Hertz_Transmission;Umspannwerk_Hamburg-Nord;;substation;380.0;380000;220000;SRID=4326;POINT(9.98460982000897_53.7411287759659);998.460.982.001;53.741.128.776;;
21;50;50Hertz_Transmission;Stromnetz_Hamburg_GmbHUmspannwerk_Hamburg/Ost;;substation;380.0;380000;110000;SRID=4326;POINT(10.1575015165126_53.5551316685834);101.575.015.165;535.551.316.686;;
